1girl,一人の女の子
symbol-shaped_pupils,シンボル型の瞳
multiple_views,複数視点
chinese_commentary,中国語コメント
sleeves_past_wrists,手首を越える袖
covered_nipples,乳首を隠す
fur_trim,毛皮のトリム
mole_under_eye,目の下のほくろ
vocaloid,VOCALOID
cat_tail,猫の尻尾
clothing_cutout,服の切り抜き
strapless,ストラップレス
hand_on_own_hip,腰に手を当てる
see-through_clothes,透ける服
black_choker,黒いチョーカー
toes,つま先
upper_teeth_only,上の歯のみ
legs,脚
wrist_cuffs,手首の飾り
v,V
feet_out_of_frame,足がフレーム外
sketch,スケッチ
bar_censor,バー検閲
sleeveless_shirt,ノースリーブシャツ
sleeveless_dress,ノースリーブドレス
wet,濡れている
sparkle,きらめき
loli,ロリ
maid,メイド
groin,股間
no_humans,人間なし
fake_animal_ears,偽物の動物の耳
pokemon_(creature),ポケモン(生き物)
fox_ears,狐耳
torn_clothes,破れた服
gun,銃
maid_headdress,メイドのヘッドドレス
pillow,枕
thigh_strap,太もものストラップ
muscular,筋肉質
black_pants,黒いパンツ
short_shorts,ショートパンツ
buttons,ボタン
gradient_background,グラデーション背景
ascot,アスコットタイ
head_tilt,首を傾げる
sash,帯
lips,唇
bare_arms,腕を露出
book,本
neck_ribbon,首のリボン
black_bow,黒いリボン
arknights,アークナイツ
gradient_hair,グラデーションヘア
cosplay,コスプレ
one-piece_swimsuit,ワンピース水着
pubic_hair,陰毛
border,境界線
bare_legs,素足
tattoo,タトゥー
black_panties,黒いパンティ
zettai_ryouiki,絶対領域
uncensored,無修正
plaid_clothes,チェック柄の服
covered_navel,へそを隠す
black_ribbon,黒いリボン
hoodie,パーカー
window,窓
colored_skin,着色された肌
detached_collar,取り外し可能な襟
petals,花びら
single_braid,一本編み
blurry_background,ぼやけた背景
profile,横顔
azur_lane,アズールレーン
blood,血
kneehighs,膝までの靴下
floating_hair,浮遊する髪
double_bun,ダブルバン
shiny_skin,光沢のある肌
makeup,メイク
mask,マスク
facial_hair,顔の毛
dress_shirt,ドレスシャツ
pov,POV(一人称視点)
black_shorts,黒いショートパンツ
idolmaster_cinderella_girls,アイドルマスター シンデレラガールズ
bodysuit,ボディスーツ
blue_background,青い背景
hug,ハグ
aqua_hair,アクアヘア
blue_dress,青いドレス
swept_bangs,流れた前髪
horse_ears,馬の耳
dutch_angle,ダッチアングル
shadow,影
expressionless,無表情
bell,ベル
capelet,ケープレット
kneeling,ひざまずく
sideboob,サイドブーブ
copyright_name,著作権名
turtleneck,タートルネック
umamusume,ウマ娘
open_shirt,シャツを開ける
:3,猫のような笑顔
night,夜
leaning_forward,前かがみ
anus,肛門
blue_bow,青いリボン
horse_girl,馬娘
hair_intakes,髪の隙間
heterochromia,虹彩異色症
skindentation,肌の食い込み
saliva,唾液
black_bikini,黒いビキニ
highleg,ハイレグ
white_jacket,白いジャケット
low_twintails,ローツインテール
white_socks,白い靴下
watermark,ウォーターマーク
4girls,四人の女の子
red_skirt,赤いスカート
scar,傷跡
on_bed,ベッドの上
^_^,笑顔
brown_footwear,茶色い靴
pussy_juice,潮吹き
siblings,兄弟姉妹
fruit,果物
piercing,ピアス
black_hat,黒い帽子
frown,不機嫌
alternate_hairstyle,別の髪型
holding_sword,剣を持っている
bed,ベッド
hatsune_miku,初音ミク
rose,バラ
bird,鳥
chinese_clothes,中華服
nose_blush,鼻の赤み
leaf,葉
one_side_up,片側アップ
fox_tail,狐の尻尾
fangs,牙
wavy_hair,ウェーブヘア
soles,足の裏
chain,鎖
animal,動物
depth_of_field,被写界深度
playboy_bunny,プレイボーイ・バニー
md5_mismatch,MD5不一致
blush_stickers,チークステッカー
beret,ベレー帽
cum_in_pussy,潮吹き
no_bra,ノーブラ
glowing,光っている
halterneck,ホルターネック
thick_thighs,太い太もも
white_footwear,白い靴
military,軍隊
holding_hands,手をつなぐ
ocean,海
thick_eyebrows,太い眉
witch_hat,魔女の帽子
underboob,アンダーブブ
headband,ヘッドバンド
4koma,4コマ
muscular_male,筋肉質な男性
blue_shirt,青いシャツ
from_above,上から
phone,電話
headphones,ヘッドホン
facial_mark,顔の印
cameltoe,キャメルトゥ
embarrassed,恥ずかしがり屋
non-web_source,非Webソース
erection,勃起
military_uniform,軍服
looking_down,見下ろす
bottomless,ボトムレス
side-tie_bikini_bottom,サイドタイビキニボトム
no_panties,パンティなし
white_bikini,白いビキニ
bed_sheet,シーツ
abs,腹筋
blue_jacket,青いジャケット
black_socks,黒い靴下
sunglasses,サングラス
half-closed_eyes,半開き目
arm_support,腕の支え
cum_on_body,体に精液
lowres,低解像度
pink_background,ピンクの背景
holding_food,食べ物を持っている
bandages,包帯
sandals,サンダル
hood_down,フードを下ろす
pectorals,胸筋
plaid_skirt,チェック柄のスカート
bob_cut,ボブカット
no_shoes,靴なし
beach,ビーチ
frilled_dress,フリルドレス
happy,幸せ
back,背中
white_flower,白い花
short_dress,ショートドレス
chair,椅子
honkai_(series),崩壊シリーズ
red_dress,赤いドレス
black_hairband,黒いヘアバンド
ass_visible_through_thighs,太ももの間から見えるお尻
dark-skinned_male,肌の黒い男性
fire_emblem,ファイアーエムブレム
drill_hair,ドリルヘア
thigh_boots,サイハイブーツ
cat_girl,猫娘
umbrella,傘
floral_print,花柄
on_side,横向き
love_live!,ラブライブ！
testicles,睾丸
white_skirt,白いスカート
female_pubic_hair,女性の陰毛
flying_sweatdrops,飛び散る汗
heart-shaped_pupils,ハート型の瞳
white_bow,白いリボン
traditional_media,伝統メディア
arms_behind_back,腕を後ろで組む
groping,痴漢
squatting,しゃがむ
transparent_background,透明な背景
scan,スキャン
eating,食べる
ring,指輪
stuffed_toy,ぬいぐるみ
white_border,白い枠
crossed_arms,腕を組む
cleavage_cutout,谷間カットアウト
table,テーブル
korean_commentary,韓国語コメント
6+girls,6人以上の女の子
garter_straps,ガーターストラップ
wariza,ワリザ
demon_horns,悪魔の角
animated,アニメーション
from_below,下から
obi,帯
sharp_teeth,鋭い歯
standing_on_one_leg,片足で立つ
portrait,ポートレート
bright_pupils,明るい瞳
shirt_lift,シャツをめくる
headgear,ヘッドギア
clothes_pull,服を引っ張る
wolf_ears,狼耳
copyright_request,著作権リクエスト
leg_up,足を上げる
oral,オーラル
black_background,黒い背景
cat,猫
demon_girl,悪魔っ娘
mouth_hold,口に咥える
cardigan,カーディガン
final_fantasy,ファイナルファンタジー
wavy_mouth,波打つ口
hakurei_reimu,博麗霊夢
bound,拘束
helmet,ヘルメット
tank_top,タンクトップ
sunlight,日光
scrunchie,シュシュ
cellphone,携帯電話
own_hands_together,両手を合わせる
parody,パロディ
thigh_gap,太ももの隙間
high_ponytail,高いポニーテール
moon,月
trembling,震える
antenna_hair,アホ毛
magical_girl,魔法少女
crying,泣いている
eyepatch,眼帯
hair_tubes,ヘアチューブ
crossed_legs,足を組む
grass,草
colored_inner_hair,内側が色付きの髪
fox_girl,狐娘
partial_commentary,部分的コメント
frilled_sleeves,フリルの袖
feathers,羽根
frilled_skirt,フリルのスカート
backpack,リュックサック
blue_ribbon,青いリボン
bara,バラ(男性同性愛表現)
cloudy_sky,曇り空
x_hair_ornament,X字の髪飾り
eyes_visible_through_hair,髪の間から見える目
white_hat,白い帽子
mob_cap,モブキャップ
suit,スーツ
furry,ファー
red_necktie,赤いネクタイ
3boys,男3人
pink_bow,ピンクのリボン
light_smile,微笑み
skirt_lift,スカートめくり
black_nails,黒い爪
red_flower,赤い花
sleeping,眠っている
plant,植物
topless,上半身裸
suspenders,サスペンダー
mahou_shoujo_madoka_magica,魔法少女まどか☆マギカ
ear_piercing,耳ピアス
blazer,ブレザー
bottle,ボトル
looking_up,上目遣い
kirisame_marisa,霧雨魔理沙
denim,デニム
1other,その他1人
fire,炎
motion_lines,モーションライン
couple,カップル
cross,十字
elf,エルフ
yaoi,やおい(男性同性愛表現)
spiked_hair,トゲトゲした髪
stuffed_animal,ぬいぐるみ
red_shirt,赤いシャツ
single_hair_bun,一つのお団子ヘア
white_apron,白いエプロン
bug,虫
formal_clothes,フォーマルな服
straddling,跨る
?,不明
crown,王冠
cover,カバー
black_leotard,黒いレオタード
clenched_teeth,歯を食いしばる
grabbing_another's_breast,相手の胸をつかむ
juliet_sleeves,ジュリエットスリーブ
holding_cup,コップを持つ
outstretched_arms,腕を伸ばす
red_bowtie,赤い蝶ネクタイ
horse_tail,馬の尾
fellatio,フェラチオ
;d,舌を出す(顔文字)
pantyshot,パンティショット
light_blush,薄い赤面
t-shirt,Tシャツ
bdsm,BDSM
tassel,タッセル
skeb_commission,SKebコミッション
slit_pupils,縦長の瞳孔
lifting_own_clothes,自分の服を持ち上げる
sex_from_behind,後ろからの性交
game_cg,ゲームCG
holding_gun,銃を持つ
curtains,カーテン
hololive_english,ホロライブEnglish
gem,宝石
underwear_only,下着のみ
robot,ロボット
on_stomach,うつ伏せ
knee_boots,ニーブーツ
shoulder_armor,肩当て
pointing,指を差す
outstretched_arm,腕を伸ばす(単数)
girls_und_panzer,ガールズ＆パンツァー
sneakers,スニーカー
aged_down,若返り
hat_ribbon,帽子のリボン
tiara,ティアラ
>_<,苦痛の顔(顔文字)
girl_on_top,女が上
straight_hair,直毛
katana,刀
knife,ナイフ
grey_shirt,灰色のシャツ
sisters,姉妹
crossover,クロスオーバー
head_wings,頭の羽根
red_footwear,赤い靴
breasts_out,胸を露出
variant_set,バリエーションセット
white_pupils,白い瞳孔
school_swimsuit,スクール水着
black_necktie,黒いネクタイ
blue_sailor_collar,青いセーラー襟
rabbit_tail,うさぎの尻尾
girls'_frontline,少女前線
animal_print,アニマル柄
polka_dot,水玉模様
facing_viewer,こちらを向く
wing_collar,ウィングカラー
feathered_wings,羽根つきの翼
multicolored_clothes,多色の服
hand_on_own_chest,自分の胸に手を当てる
eyewear_on_head,頭にかぶった眼鏡
yellow_background,黄色の背景
messy_hair,乱れた髪
short_twintails,短いツインテール
fishnets,網タイツ
strapless_leotard,ストラップレスレオタード
bandaid,絆創膏
bent_over,かがむ
paid_reward_available,有料報酬あり
goggles,ゴーグル
kiss,キス
monster_girl,モンスター娘
green_skirt,緑のスカート
nijisanji,にじさんじ
pink_dress,ピンクのドレス
bat_wings,コウモリの翼
hooded_jacket,フード付きジャケット
black_bra,黒いブラジャー
building,建物
extra_ears,追加の耳
red_background,赤色の背景
clenched_hand,握りこぶし
skin_fang,肌の牙
tan,日焼け
revision,改訂
puffy_long_sleeves,膨らんだ長袖
5girls,女の子5人
dog_ears,犬耳
all_fours,四つん這い
loafers,ローファー
red_jacket,赤いジャケット
no_pants,ズボンなし
demon_tail,悪魔の尻尾
staff,杖
shaded_face,影になった顔
brooch,ブローチ
honkai:_star_rail,崩壊：スターレイル
group_sex,集団性交
star_(sky),星(空)
pink_flower,ピンクの花
undressing,服を脱ぐ
single_thighhigh,片方のサイハイソックス
red_nails,赤い爪
white_ribbon,白いリボン
hat_bow,帽子のリボン(蝶結び)
black_belt,黒いベルト
crossed_bangs,クロスした前髪
lingerie,ランジェリー
striped_thighhighs,縞模様のサイハイソックス
lipstick,口紅
letterboxed,レターボックス(画面比率)
veil,ベール
otoko_no_ko,男の娘
bondage,ボンデージ(緊縛)
china_dress,チャイナドレス
towel,タオル
instrument,楽器
polearm,ポールウェポン(長柄武器)
mahou_shoujo_madoka_magica_(anime),魔法少女まどか☆マギカ(アニメ)
hair_bobbles,ヘアゴム
night_sky,夜空
knees_up,膝上
cherry_blossoms,桜
child,子供
armband,アームバンド
scar_on_face,顔の傷
box,箱
wristband,リストバンド
steam,蒸気
drooling,よだれ
butterfly,蝶
revealing_clothes,露出の多い服
crescent,三日月
ribbon_trim,リボン飾り
light_particles,光の粒子
hair_over_shoulder,肩越しの髪
wind,風
foreshortening,短縮法(遠近法)
candy,キャンディー
outside_border,境界線外
smartphone,スマートフォン
highleg_leotard,ハイレグレオタード
pale_skin,青白い肌
surprised,驚いた
remilia_scarlet,レミリア・スカーレット
couch,ソファ
precure,プリキュア
flandre_scarlet,フランドール・スカーレット
^^^,笑い(顔文字)
meme,ミーム
claws,爪(鋭い)
scenery,風景
musical_note,音符
black_coat,黒いコート
side_braid,横編み
anal,アナル
multiple_tails,複数の尻尾
adapted_costume,アレンジ衣装
character_request,キャラクターリクエスト
low_ponytail,低いポニーテール
sheath,鞘
rope,ロープ
anger_vein,怒り血管
sex_toy,性玩具
danganronpa_(series),ダンガンロンパシリーズ
...,...
strapless_dress,ストラップレスドレス
lace_trim,レース飾り
mole_under_mouth,口の下のほくろ
gauntlets,ガントレット(手甲)
toenails,足の爪
bike_shorts,バイクショーツ
microphone,マイク
arms_behind_head,頭の後ろで腕を組む
pelvic_curtain,骨盤カーテン
kemono_friends,けものフレンズ
grey_skirt,灰色のスカート
beard,髭
baseball_cap,野球帽
breast_press,胸を押し付ける
holding_phone,携帯電話を持つ
white_sailor_collar,白いセーラー襟
white_pantyhose,白いパンティストッキング
ejaculation,射精
white_sleeves,白い袖
large_pectorals,発達した胸筋
casual,カジュアル
red_neckerchief,赤いバンダナ
hakama,袴
index_finger_raised,人差し指を立てる
hood_up,フードを被る
nature,自然
between_breasts,胸の間
waist_apron,腰エプロン
genderswap,性転換
cloak,マント
cropped_jacket,クロップドジャケット
breath,息
purple_dress,紫のドレス
wet_clothes,濡れた服
gundam,ガンダム
dot_nose,点鼻
web_address,ウェブアドレス
bridal_gauntlets,ブライダルガントレット
panty_pull,パンティを引っ張る
pink_panties,ピンクのパンティ
maid_apron,メイドエプロン
male_pubic_hair,男性の陰毛
cover_page,表紙
cropped_legs,脚の切断
logo,ロゴ
granblue_fantasy,グランブルーファンタジー
blue_nails,青い爪
interlocked_fingers,指を組む
twin_drills,ツインドリル(髪型)
string_bikini,ストリングビキニ
sleeves_past_fingers,指先を越える袖
bad_link,リンク切れ
buckle,バックル
eyeshadow,アイシャドウ
pink_nails,ピンクの爪
hand_on_own_face,自分の顔に手を当てる
outline,アウトライン
pom_pom_(clothes),ポンポン(服)
alternate_breast_size,異なる胸のサイズ
o-ring,Oリング
short_hair_with_long_locks,長い房のある短い髪
third_eye,第三の目
close-up,クローズアップ
yellow_bow,黄色のリボン
semi-rimless_eyewear,セミリムレス眼鏡
izayoi_sakuya,十六夜咲夜
skirt_set,スカートセット
covering_privates,プライベート部分を隠す
areola_slip,乳輪の露出
facial,顔
blue_necktie,青いネクタイ
spoken_heart,話されたハート(顔文字)
glowing_eyes,光る目
androgynous,アンドロジナス(両性具有)
peaked_cap,ピークドキャップ(野球帽)
blouse,ブラウス
jojo_no_kimyou_na_bouken,ジョジョの奇妙な冒険
gold_trim,金色の縁取り
eye_contact,アイコンタクト
motor_vehicle,自動車
colored_sclera,色付きの強膜
neck_bell,首輪の鈴
breasts_apart,胸を離す
carrying,運ぶ
holding_book,本を持つ
plate,皿
black_wings,黒い翼
patreon_username,Patreonユーザー名
two-tone_background,2色の背景
jingle_bell,ジングルベル
faceless,顔がない
forehead,額
curvy,曲線美
tearing_up,涙ぐむ
corset,コルセット
video,動画
clothes_writing,服の文字
brown_gloves,茶色の手袋
angry,怒っている
clothing_aside,服を横に置く
dragon_horns,ドラゴンの角
christmas,クリスマス
hand_fan,扇子
single_earring,片方のイヤリング
open_coat,コートを開ける
camisole,キャミソール
red_gloves,赤い手袋
micro_bikini,マイクロビキニ
blue_flower,青い花
cropped_torso,胴体の一部
spikes,スパイク
restrained,拘束されている
mecha,メカ
wolf_tail,狼の尻尾
hair_flaps,髪の毛がひらひらする
arm_at_side,腕を体側に置く
blue_shorts,青いショートパンツ
black_vest,黒いベスト
round_eyewear,丸眼鏡
striped_panties,縞模様のパンティ
green_background,緑色の背景
low-tied_long_hair,低く結んだ長髪
pink_shirt,ピンクのシャツ
pink_ribbon,ピンクのリボン
mixed-language_commentary,多言語コメント
bow_panties,リボンのパンティ
science_fiction,SF
second-party_source,二次ソース
front-tie_top,フロントタイトップ
side_slit,サイドスリット
hair_rings,ヘアリング
blue_bikini,青いビキニ
white_skin,白い肌
convenient_censoring,都合の良い検閲
side-tie_panties,サイドタイパンティ
licking,舐める
paizuri,パイズリ
demon_wings,悪魔の翼
floating,浮遊
black_sailor_collar,黒いセーラー襟
happy_birthday,誕生日おめでとう
brown_background,茶色の背景
smoke,煙
purple_background,紫色の背景
rifle,ライフル
armlet,アームレット(腕輪)
tentacles,触手
pink_skirt,ピンクのスカート
sweater_vest,セーターベスト
veins,血管
clenched_hands,握りしめた手
frilled_apron,フリル付きエプロン
:<,悲しい顔(顔文字)
tsurime,つり目
desk,机
single_glove,片方の手袋
green_bow,緑のリボン
cum_on_breasts,胸に精液
knee_up,膝上
zipper,ジッパー
skin_tight,肌にぴったり
freckles,そばかす
high_collar,ハイネック
full_moon,満月
mary_janes,メリージェーン(靴)
drinking_glass,ワイングラス
ball,ボール
sleeves_rolled_up,袖をまくる
spot_color,スポットカラー
indie_virtual_youtuber,インディーバーチャルYouTuber
cowgirl_position,カウガールポジション
:p,舌を出す(顔文字)
white_pants,白いズボン
topless_male,男性上半身裸
pocket,ポケット
snow,雪
beads,ビーズ
hair_scrunchie,シュシュ
dual_persona,二重人格
one_eye_covered,片目を隠す
yellow_shirt,黄色のシャツ
dragon_girl,ドラゴン娘
lace,レース
frilled_shirt_collar,フリルのシャツ襟
finger_to_mouth,指を口に当てる
official_alternate_hairstyle,公式の別ヘアスタイル
wide_hips,広い腰
gift,プレゼント
lens_flare,レンズフレア
half_updo,ハーフアップ
no_headwear,帽子なし
track_jacket,トラックジャケット
pencil_skirt,タイトスカート
strap_slip,ストラップがずれる
vertical-striped_clothes,縦縞の服
high_heel_boots,ハイヒールブーツ
hakama_skirt,袴スカート
black_bowtie,黒い蝶ネクタイ
toned,引き締まった
genderswap_(mtf),性転換(MTF)
handgun,拳銃
green_jacket,緑のジャケット
clothed_female_nude_male,服を着た女性と裸の男性
fate/stay_night,Fate/stay night
artoria_pendragon_(fate),アルトリア・ペンドラゴン(Fate)
!,!
cake,ケーキ
purple_bow,紫のリボン
admiral_(kancolle),提督(艦これ)
seiza,正座
heavy_breathing,激しい息遣い
blue_footwear,青い靴
tokin_hat,トーキンハット(頭巾)
starry_sky,星空
walking,歩いている
bikini_top_only,ビキニトップのみ
after_sex,セックス後
single_horn,一本角
arm_behind_back,腕を後ろに回す
idolmaster_shiny_colors,アイドルマスター シャイニーカラーズ
white_coat,白いコート
asymmetrical_legwear,非対称のレッグウェア
wading,水の中を歩く
reflection,反射
mature_male,年配の男性
high-waist_skirt,ハイウエストスカート
fish,魚
green_dress,緑のドレス
angel_wings,天使の翼
between_legs,脚の間
furrowed_brow,眉間にしわ
robe,ローブ
alcohol,アルコール
grey_jacket,灰色のジャケット
frilled_bikini,フリル付きビキニ
duplicate,重複
handjob,手コキ
mole_on_breast,胸のほくろ
clothed_sex,服を着ての性交
brown_jacket,茶色のジャケット
tareme,たれ目
idolmaster_(classic),アイドルマスター(クラシック)
masturbation,マスターベーション
black-framed_eyewear,黒縁眼鏡
tray,トレイ
ribbed_sweater,リブ編みセーター
check_translation,翻訳チェック
cross-laced_footwear,クロスレースアップシューズ
personification,擬人化
swim_ring,浮き輪
pendant,ペンダント
blood_on_face,顔の血
headset,ヘッドセット
crying_with_eyes_open,目を開けて泣く
forest,森
spoilers,ネタバレ
brown_pantyhose,茶色のパンティストッキング
puffy_nipples,膨らんだ乳首
long_skirt,ロングスカート
kemonomimi_mode,ケモミミモード
kochiya_sanae,東風谷早苗
pouch,ポーチ
arm_behind_head,頭の後ろに腕を置く
furry_female,ファー(女性)
long_fingernails,長い爪
white_wings,白い翼
turtleneck_sweater,タートルネックセーター
konpaku_youmu,魂魄妖夢
sailor_dress,セーラー服
santa_hat,サンタ帽
goggles_on_head,頭に乗せたゴーグル
age_difference,年齢差
komeiji_koishi,古明地こいし
legs_up,足を上げる
halloween,ハロウィン
love_live!_school_idol_project,ラブライブ！スクールアイドルプロジェクト
partially_submerged,部分的に水没
@_@,目が回る(顔文字)
purple_skirt,紫のスカート
black_sleeves,黒い袖
alice_margatroid,アリス・マーガトロイド
cirno,チルノ
bulge,膨らみ
rain,雨
white_shorts,白いショートパンツ
crossdressing,女装
patchouli_knowledge,パチュリー・ノーレッジ
spoken_ellipsis,話された点々(感嘆)
one_piece,ONE PIECE
raised_eyebrows,眉を上げる
red_hat,赤い帽子
short_ponytail,短いポニーテール
curly_hair,巻き毛
one-hour_drawing_challenge,1時間ドローイングチャレンジ
jitome,じと目
hand_in_pocket,ポケットに手を入れる
hand_in_own_hair,自分の髪に手をやる
green_shirt,緑のシャツ
backlighting,逆光
white_hairband,白いヘアバンド
legs_apart,脚を開く
brown_skirt,茶色のスカート
hand_on_another's_head,相手の頭に手を置く
yellow_flower,黄色の花
mature_female,年配の女性
fake_tail,偽の尻尾
bubble,泡
condom,コンドーム
persona,ペルソナ
thong,Tバック
red_bikini,赤いビキニ
futanari,両性具有
out_of_frame,フレーム外
thought_bubble,思考の吹き出し
cuffs,カフス
cigarette,タバコ
animal_hands,動物の手
denim_shorts,デニムのショートパンツ
white_bra,白いブラジャー
empty_eyes,虚ろな目
unworn_headwear,未着用な帽子
yellow_ribbon,黄色いリボン
upskirt,スカートめくり
star_hair_ornament,星の髪飾り
faceless_male,顔のない男性
top_hat,シルクハット
blue_pants,青いパンツ
dress_lift,ドレスを持ち上げる
belt_buckle,ベルトのバックル
blue_hat,青い帽子
pauldrons,肩当て
yakumo_yukari,八雲紫
flying,飛んでいる
4boys,少年4人
red-framed_eyewear,赤縁の眼鏡
epaulettes,エポレット
furry_male,獣人男性
striped_shirt,縞模様のシャツ
gym_uniform,体操服
emphasis_lines,強調線
fingering,指
white_kimono,白い着物
red_scarf,赤いスカーフ
light_blue_hair,水色の髪
broom,ほうき
teacup,ティーカップ
